"Sex","Age","Length","Weight","logLength"
"F",3,315,195.6,2.4983105537896
"F",3,316,225.25,2.4996870826184
"F",3,318,245.05,2.50242711998443
"F",3,318,220.09,2.50242711998443
"F",3,320,216.54,2.50514997831991
"F",3,321,237.74,2.50650503240487
"F",3,323,272.72,2.5092025223311
"F",3,324,212.24,2.51054501020661
"F",3,326,298.21,2.51321760006794
"F",3,326,307.41,2.51321760006794
"F",3,327,286.82,2.51454775266029
"F",3,328,307.92,2.51587384371168
"F",3,330,348.23,2.51851393987789
"F",3,334,306.27,2.52374646681156
"F",3,334,311.1,2.52374646681156
"F",3,334,272.11,2.52374646681156
"F",3,335,299.62,2.52504480703685
"F",3,335,266.05,2.52504480703685
"F",3,335,263.28,2.52504480703685
"F",3,339,329.67,2.53019969820308
"F",3,342,301.73,2.53402610605613
"F",3,345,315.05,2.53781909507327
"F",3,346,348.46,2.53907609879278
"F",3,346,347.85,2.53907609879278
"F",3,348,298.36,2.54157924394658
"F",3,359,406.09,2.55509444857832
"F",3,362,360.95,2.55870857053317
"F",3,370,386.61,2.56820172406699
"F",3,373,550,2.57170883180869
"F",3,380,466.9,2.57978359661681
"F",3,385,539.5,2.5854607295085
"F",3,406,740,2.60852603357719
"F",4,243,95.45,2.38560627359831
"F",4,246,103.55,2.39093510710338
"F",4,247,112.93,2.39269695325967
"F",4,247,107.28,2.39269695325967
"F",4,248,137.7,2.39445168082622
"F",4,250,119.47,2.39794000867204
"F",4,250,119.73,2.39794000867204
"F",4,251,152.86,2.39967372148104
"F",4,251,124.5,2.39967372148104
"F",4,253,116.36,2.40312052117582
"F",4,253,120.51,2.40312052117582
"F",4,255,113.67,2.40654018043396
"F",4,256,95.1,2.40823996531185
"F",4,257,127.79,2.40993312333129
"F",4,257,113.75,2.40993312333129
"F",4,257,105.36,2.40993312333129
"F",4,258,145.96,2.41161970596323
"F",4,258,156.11,2.41161970596323
"F",4,258,119.15,2.41161970596323
"F",4,258,90.73,2.41161970596323
"F",4,258,108.85,2.41161970596323
"F",4,259,148.91,2.41329976408125
"F",4,259,136.03,2.41329976408125
"F",4,259,118.32,2.41329976408125
"F",4,259,127.98,2.41329976408125
"F",4,259,130.24,2.41329976408125
"F",4,259,128.93,2.41329976408125
"F",4,259,121.1,2.41329976408125
"F",4,260,123.02,2.41497334797082
"F",4,261,136.24,2.41664050733828
"F",4,261,118.65,2.41664050733828
"F",4,261,136.63,2.41664050733828
"F",4,261,113.09,2.41664050733828
"F",4,262,127.86,2.41830129131975
"F",4,263,123.96,2.41995574848976
"F",4,263,116.89,2.41995574848976
"F",4,264,142.15,2.42160392686983
"F",4,265,124.3,2.42324587393681
"F",4,266,139.43,2.42488163663107
"F",4,266,120.36,2.42488163663107
"F",4,267,151.05,2.42651126136458
"F",4,267,148.83,2.42651126136458
"F",4,268,146.45,2.42813479402879
"F",4,268,111.66,2.42813479402879
"F",4,268,104.72,2.42813479402879
"F",4,269,120.74,2.42975228000241
"F",4,270,164.63,2.43136376415899
"F",4,270,129.37,2.43136376415899
"F",4,270,126.97,2.43136376415899
"F",4,271,176.75,2.43296929087441
"F",4,272,162.45,2.4345689040342
"F",4,272,143.58,2.4345689040342
"F",4,272,179.55,2.4345689040342
"F",4,272,127.91,2.4345689040342
"F",4,273,134.11,2.43616264704076
"F",4,274,172.6,2.43775056282039
"F",4,274,170.97,2.43775056282039
"F",4,274,141.16,2.43775056282039
"F",4,275,141.3,2.43933269383026
"F",4,275,142.51,2.43933269383026
"F",4,275,208.03,2.43933269383026
"F",4,275,192.74,2.43933269383026
"F",4,275,144.86,2.43933269383026
"F",4,275,114.09,2.43933269383026
"F",4,275,121.36,2.43933269383026
"F",4,276,166.87,2.44090908206522
"F",4,276,148.03,2.44090908206522
"F",4,276,155.68,2.44090908206522
"F",4,276,141.4,2.44090908206522
"F",4,276,146.4,2.44090908206522
"F",4,276,133.43,2.44090908206522
"F",4,277,150.3,2.44247976906445
"F",4,278,168.15,2.44404479591808
"F",4,278,148.26,2.44404479591808
"F",4,278,136.59,2.44404479591808
"F",4,279,154.25,2.4456042032736
"F",4,279,154.98,2.4456042032736
"F",4,279,137.01,2.4456042032736
"F",4,280,178.79,2.44715803134222
"F",4,280,155.89,2.44715803134222
"F",4,280,166.15,2.44715803134222
"F",4,281,167.34,2.44870631990508
"F",4,281,144.93,2.44870631990508
"F",4,282,152.88,2.45024910831936
"F",4,282,162.7,2.45024910831936
"F",4,283,182.2,2.45178643552429
"F",4,283,166.06,2.45178643552429
"F",4,284,178.04,2.45331834004704
"F",4,284,171.24,2.45331834004704
"F",4,285,157.54,2.45484486000851
"F",4,285,205.85,2.45484486000851
"F",4,285,165.05,2.45484486000851
"F",4,285,177.14,2.45484486000851
"F",4,286,196.55,2.45636603312904
"F",4,286,162.57,2.45636603312904
"F",4,286,149.32,2.45636603312904
"F",4,286,164.9,2.45636603312904
"F",4,286,166.64,2.45636603312904
"F",4,286,170.77,2.45636603312904
"F",4,286,135.06,2.45636603312904
"F",4,288,160.14,2.45939248775923
"F",4,288,164.21,2.45939248775923
"F",4,288,124.5,2.45939248775923
"F",4,289,184.86,2.46089784275655
"F",4,289,207.55,2.46089784275655
"F",4,289,166.6,2.46089784275655
"F",4,290,193.99,2.46239799789896
"F",4,291,241.57,2.46389298898591
"F",4,291,191.86,2.46389298898591
"F",4,291,175.92,2.46389298898591
"F",4,291,182.95,2.46389298898591
"F",4,291,155.13,2.46389298898591
"F",4,292,182.95,2.46538285144842
"F",4,292,172.27,2.46538285144842
"F",4,292,179.73,2.46538285144842
"F",4,292,193.55,2.46538285144842
"F",4,293,184.71,2.46686762035411
"F",4,293,182.11,2.46686762035411
"F",4,294,176,2.46834733041216
"F",4,295,212.48,2.46982201597816
"F",4,295,134.08,2.46982201597816
"F",4,296,239.28,2.47129171105894
"F",4,296,188.62,2.47129171105894
"F",4,296,187.06,2.47129171105894
"F",4,297,169.05,2.47275644931721
"F",4,298,203.31,2.47421626407626
"F",4,299,198.84,2.47567118832443
"F",4,299,204.59,2.47567118832443
"F",4,300,193.81,2.47712125471966
"F",4,302,182.38,2.48000694295715
"F",4,302,162.74,2.48000694295715
"F",4,303,184.89,2.4814426285023
"F",4,303,178.39,2.4814426285023
"F",4,303,174.5,2.4814426285023
"F",4,306,195.27,2.48572142648158
"F",4,310,236.25,2.49136169383427
"F",4,310,299.56,2.49136169383427
"F",4,311,211.04,2.49276038902684
"F",4,311,198.46,2.49276038902684
"F",4,312,202.24,2.49415459401844
"F",4,313,266.43,2.49554433754645
"F",4,314,226.53,2.49692964807321
"F",4,315,230.48,2.4983105537896
"F",4,315,263.91,2.4983105537896
"F",4,316,256.39,2.4996870826184
"F",4,317,285.15,2.50105926221775
"F",4,317,227.58,2.50105926221775
"F",4,318,243.33,2.50242711998443
"F",4,320,258.84,2.50514997831991
"F",4,320,248.37,2.50514997831991
"F",4,321,225.65,2.50650503240487
"F",4,322,247.63,2.50785587169583
"F",4,323,247.15,2.5092025223311
"F",4,323,288.53,2.5092025223311
"F",4,323,248.36,2.5092025223311
"F",4,324,292.89,2.51054501020661
"F",4,325,275.38,2.51188336097887
"F",4,326,320.86,2.51321760006794
"F",4,326,264.53,2.51321760006794
"F",4,328,222.74,2.51587384371168
"F",4,329,310.34,2.51719589794997
"F",4,332,293.8,2.52113808370404
"F",4,333,308.18,2.52244423350632
"F",4,333,272.05,2.52244423350632
"F",4,334,311.66,2.52374646681156
"F",4,335,252.84,2.52504480703685
"F",4,335,252.9,2.52504480703685
"F",4,336,253.39,2.52633927738984
"F",4,336,289.83,2.52633927738984
"F",4,337,282.88,2.52762990087134
"F",4,339,303.78,2.53019969820308
"F",4,341,321.87,2.5327543789925
"F",4,343,310.33,2.53529412004277
"F",4,343,311.7,2.53529412004277
"F",4,344,332,2.53655844257153
"F",4,344,313.26,2.53655844257153
"F",4,345,239.99,2.53781909507327
"F",4,345,279.06,2.53781909507327
"F",4,347,400.16,2.54032947479087
"F",4,348,307.8,2.54157924394658
"F",4,349,317.32,2.54282542695918
"F",4,349,275.29,2.54282542695918
"F",4,352,348.31,2.54654266347813
"F",4,354,324.11,2.54900326202579
"F",4,356,416.04,2.55144999797288
"F",4,357,317.44,2.55266821611219
"F",4,360,358.42,2.55630250076729
"F",4,361,326.65,2.55750720190566
"F",4,362,463.07,2.55870857053317
"F",4,364,370.5,2.56110138364906
"F",4,365,451.23,2.56229286445647
"F",4,365,362.02,2.56229286445647
"F",4,371,374.94,2.56937390961505
"F",4,371,363.92,2.56937390961505
"F",4,372,374.51,2.5705429398819
"F",4,374,441.414,2.57287160220048
"F",4,375,388.51,2.57403126772772
"F",4,375,421.16,2.57403126772772
"F",4,375,417.77,2.57403126772772
"F",4,379,330.66,2.57863920996807
"F",4,381,441.14,2.58092497567562
"F",4,385,412.82,2.5854607295085
"F",4,391,413.63,2.59217675739587
"F",4,392,522.61,2.59328606702046
"F",4,393,470,2.59439255037543
"F",4,395,531.61,2.59659709562646
"F",4,396,515.64,2.59769518592551
"F",4,397,470.81,2.59879050676312
"F",4,397,503.69,2.59879050676312
"F",4,398,513.54,2.59988307207369
"F",4,399,501.08,2.60097289568675
"F",4,405,512.16,2.60745502321467
"F",4,410,570,2.61278385671974
"F",4,412,573.5,2.61489721603313
"F",4,413,580,2.6159500516564
"F",4,418,476.44,2.62117628177504
"F",4,424,547.87,2.62736585659273
"F",4,426,635,2.62940959910272
"F",4,429,695,2.63245729218472
"F",4,434,553.28,2.63748972951251
"F",4,438,680,2.6414741105041
"F",4,446,625,2.64933485871214
"F",4,449,640,2.65224634100332
"F",4,501,1155,2.69983772586725
"F",5,248,101.21,2.39445168082622
"F",5,251,96.91,2.39967372148104
"F",5,259,142.14,2.41329976408125
"F",5,259,105.75,2.41329976408125
"F",5,261,149.84,2.41664050733828
"F",5,264,134.8,2.42160392686983
"F",5,264,108.78,2.42160392686983
"F",5,268,123.2,2.42813479402879
"F",5,269,132.53,2.42975228000241
"F",5,270,105.66,2.43136376415899
"F",5,273,157.35,2.43616264704076
"F",5,278,127.89,2.44404479591808
"F",5,278,148.14,2.44404479591808
"F",5,278,153.44,2.44404479591808
"F",5,279,160.7,2.4456042032736
"F",5,285,173.06,2.45484486000851
"F",5,288,157.57,2.45939248775923
"F",5,288,182.23,2.45939248775923
"F",5,291,235.29,2.46389298898591
"F",5,292,200.08,2.46538285144842
"F",5,295,165.22,2.46982201597816
"F",5,296,191.52,2.47129171105894
"F",5,297,172.74,2.47275644931721
"F",5,298,176.48,2.47421626407626
"F",5,299,208.78,2.47567118832443
"F",5,300,220.91,2.47712125471966
"F",5,301,202.12,2.47856649559384
"F",5,302,204,2.48000694295715
"F",5,305,197.54,2.48429983934679
"F",5,307,201.48,2.48713837547719
"F",5,307,216.54,2.48713837547719
"F",5,312,187.31,2.49415459401844
"F",5,312,213.93,2.49415459401844
"F",5,318,245.91,2.50242711998443
"F",5,320,247.31,2.50514997831991
"F",5,321,250.24,2.50650503240487
"F",5,322,279.59,2.50785587169583
"F",5,323,225.02,2.5092025223311
"F",5,328,267.55,2.51587384371168
"F",5,332,261.29,2.52113808370404
"F",5,332,247.66,2.52113808370404
"F",5,341,303.88,2.5327543789925
"F",5,347,321.06,2.54032947479087
"F",5,347,341.71,2.54032947479087
"F",5,348,316.33,2.54157924394658
"F",5,353,360.6,2.54777470538782
"F",5,354,276.33,2.54900326202579
"F",5,355,276.1,2.55022835305509
"F",5,360,363.77,2.55630250076729
"F",5,368,374.69,2.56584781867352
"F",5,374,394.73,2.57287160220048
"F",5,376,379.13,2.57518784492766
"F",5,377,426,2.57634135020579
"F",5,378,440.59,2.57749179983723
"F",5,379,564.36,2.57863920996807
"F",5,383,438.45,2.58319877396862
"F",5,392,504.38,2.59328606702046
"F",5,400,615,2.60205999132796
"F",5,402,468.63,2.60422605308447
"F",5,402,438.25,2.60422605308447
"F",5,414,547.66,2.6170003411209
"F",5,421,494.59,2.62428209583567
"F",5,421,620,2.62428209583567
"F",5,423,625,2.62634036737504
"F",5,424,522.08,2.62736585659273
"F",5,433,690,2.63648789635337
"F",5,446,710,2.64933485871214
"F",6,241,105.28,2.38201704257487
"F",6,259,110.94,2.41329976408125
"F",6,283,169.34,2.45178643552429
"F",6,319,216.97,2.50379068305718
"F",6,359,297.64,2.55509444857832
"F",6,368,368.29,2.56584781867352
"F",6,369,359.24,2.56702636615906
"F",6,376,347.38,2.57518784492766
"F",6,386,515,2.58658730467176
"F",6,400,539.53,2.60205999132796
"F",6,402,416.2,2.60422605308447
"F",6,424,760,2.62736585659273
"F",6,453,705,2.65609820201283
"F",6,458,770,2.66086547800387
"F",6,460,930,2.66275783168157
"F",7,401,590,2.60314437262018
"F",7,415,482.15,2.61804809671209
"F",7,441,955,2.64443858946784
"M",1,297,177.67,2.47275644931721
"M",2,245,101.84,2.38916608436453
"M",2,245,93.89,2.38916608436453
"M",2,249,99.59,2.39619934709574
"M",2,252,110.91,2.40140054078154
"M",2,252,109.37,2.40140054078154
"M",2,253,103.94,2.40312052117582
"M",2,254,114.27,2.40483371661994
"M",2,256,111.82,2.40823996531185
"M",2,257,133.46,2.40993312333129
"M",2,257,118.14,2.40993312333129
"M",2,257,103.57,2.40993312333129
"M",2,261,130.16,2.41664050733828
"M",2,262,171.85,2.41830129131975
"M",2,264,141.11,2.42160392686983
"M",2,267,123.25,2.42651126136458
"M",2,268,128,2.42813479402879
"M",2,268,147.48,2.42813479402879
"M",2,269,152.2,2.42975228000241
"M",2,269,128.61,2.42975228000241
"M",2,273,148.81,2.43616264704076
"M",2,274,145.23,2.43775056282039
"M",2,274,132.44,2.43775056282039
"M",2,278,156.44,2.44404479591808
"M",2,278,179.76,2.44404479591808
"M",2,281,183,2.44870631990508
"M",2,282,148.4,2.45024910831936
"M",2,283,134.04,2.45178643552429
"M",2,285,196.77,2.45484486000851
"M",2,285,143.05,2.45484486000851
"M",2,286,168.86,2.45636603312904
"M",2,286,148.35,2.45636603312904
"M",2,288,161.23,2.45939248775923
"M",2,292,210.86,2.46538285144842
"M",2,294,167.13,2.46834733041216
"M",2,295,171.93,2.46982201597816
"M",2,296,205.25,2.47129171105894
"M",2,297,228.43,2.47275644931721
"M",2,297,198.79,2.47275644931721
"M",2,298,185.83,2.47421626407626
"M",2,299,181.54,2.47567118832443
"M",2,301,238.67,2.47856649559384
"M",2,302,208,2.48000694295715
"M",2,302,209.47,2.48000694295715
"M",2,305,246.01,2.48429983934679
"M",2,309,212.13,2.48995847942483
"M",2,312,215.62,2.49415459401844
"M",2,313,238.41,2.49554433754645
"M",2,315,218.64,2.4983105537896
"M",2,317,209.61,2.50105926221775
"M",2,319,236.02,2.50379068305718
"M",2,323,230.06,2.5092025223311
"M",2,327,257.6,2.51454775266029
"M",2,329,280.45,2.51719589794997
"M",2,329,291.17,2.51719589794997
"M",2,336,298.27,2.52633927738984
"M",2,338,262.29,2.52891670027765
"M",2,341,299.04,2.5327543789925
"M",2,343,302.67,2.53529412004277
"M",2,360,330.32,2.55630250076729
"M",2,368,363.24,2.56584781867352
"M",3,172,148.87,2.23552844690755
"M",3,243,104.02,2.38560627359831
"M",3,244,92.27,2.38738982633873
"M",3,245,109.89,2.38916608436453
"M",3,246,100.6,2.39093510710338
"M",3,246,106.99,2.39093510710338
"M",3,247,120.11,2.39269695325967
"M",3,247,111.28,2.39269695325967
"M",3,247,107.37,2.39269695325967
"M",3,248,111.89,2.39445168082622
"M",3,248,97.08,2.39445168082622
"M",3,249,119.35,2.39619934709574
"M",3,250,126.76,2.39794000867204
"M",3,250,111.18,2.39794000867204
"M",3,251,107.19,2.39967372148104
"M",3,252,123.17,2.40140054078154
"M",3,252,117.44,2.40140054078154
"M",3,252,108.35,2.40140054078154
"M",3,253,128.47,2.40312052117582
"M",3,255,126.15,2.40654018043396
"M",3,256,132.83,2.40823996531185
"M",3,256,115.46,2.40823996531185
"M",3,256,114.2,2.40823996531185
"M",3,257,138.61,2.40993312333129
"M",3,257,132.88,2.40993312333129
"M",3,257,124.3,2.40993312333129
"M",3,257,117.48,2.40993312333129
"M",3,258,131.08,2.41161970596323
"M",3,258,137.53,2.41161970596323
"M",3,258,113.24,2.41161970596323
"M",3,258,117.27,2.41161970596323
"M",3,259,148,2.41329976408125
"M",3,259,115.34,2.41329976408125
"M",3,259,103.85,2.41329976408125
"M",3,260,121,2.41497334797082
"M",3,260,133.71,2.41497334797082
"M",3,260,133.07,2.41497334797082
"M",3,260,123.39,2.41497334797082
"M",3,260,129.26,2.41497334797082
"M",3,262,127.6,2.41830129131975
"M",3,264,132.96,2.42160392686983
"M",3,264,134.05,2.42160392686983
"M",3,265,127.43,2.42324587393681
"M",3,266,143.42,2.42488163663107
"M",3,266,122.01,2.42488163663107
"M",3,266,113.43,2.42488163663107
"M",3,266,135.17,2.42488163663107
"M",3,267,132.18,2.42651126136458
"M",3,268,119.49,2.42813479402879
"M",3,268,121.78,2.42813479402879
"M",3,269,135.19,2.42975228000241
"M",3,269,136.35,2.42975228000241
"M",3,270,145.12,2.43136376415899
"M",3,271,139.96,2.43296929087441
"M",3,272,160.86,2.4345689040342
"M",3,272,161.94,2.4345689040342
"M",3,272,129.51,2.4345689040342
"M",3,273,141.63,2.43616264704076
"M",3,273,144.83,2.43616264704076
"M",3,273,135.63,2.43616264704076
"M",3,273,144.32,2.43616264704076
"M",3,274,144.82,2.43775056282039
"M",3,274,120.39,2.43775056282039
"M",3,275,140.34,2.43933269383026
"M",3,275,177.61,2.43933269383026
"M",3,276,190,2.44090908206522
"M",3,276,152.3,2.44090908206522
"M",3,276,147.11,2.44090908206522
"M",3,277,148.16,2.44247976906445
"M",3,277,164.19,2.44247976906445
"M",3,277,156.6,2.44247976906445
"M",3,277,163.11,2.44247976906445
"M",3,277,151.06,2.44247976906445
"M",3,278,162,2.44404479591808
"M",3,278,141.89,2.44404479591808
"M",3,280,150.05,2.44715803134222
"M",3,280,148.58,2.44715803134222
"M",3,281,150.11,2.44870631990508
"M",3,281,159.93,2.44870631990508
"M",3,282,151.39,2.45024910831936
"M",3,282,165.54,2.45024910831936
"M",3,282,178.66,2.45024910831936
"M",3,282,148.33,2.45024910831936
"M",3,282,145.77,2.45024910831936
"M",3,282,144.33,2.45024910831936
"M",3,283,162,2.45178643552429
"M",3,283,195.15,2.45178643552429
"M",3,285,182.43,2.45484486000851
"M",3,285,190.04,2.45484486000851
"M",3,285,156.79,2.45484486000851
"M",3,286,171.95,2.45636603312904
"M",3,286,176.91,2.45636603312904
"M",3,287,180.15,2.45788189673399
"M",3,290,171.7,2.46239799789896
"M",3,291,164,2.46389298898591
"M",3,291,193.61,2.46389298898591
"M",3,291,172.11,2.46389298898591
"M",3,292,194.79,2.46538285144842
"M",3,293,188.85,2.46686762035411
"M",3,293,177.48,2.46686762035411
"M",3,293,179.54,2.46686762035411
"M",3,293,167.47,2.46686762035411
"M",3,294,208.42,2.46834733041216
"M",3,295,184.58,2.46982201597816
"M",3,295,195.82,2.46982201597816
"M",3,295,202.52,2.46982201597816
"M",3,295,173.29,2.46982201597816
"M",3,297,196.73,2.47275644931721
"M",3,297,204.13,2.47275644931721
"M",3,297,189,2.47275644931721
"M",3,297,264.43,2.47275644931721
"M",3,298,201.64,2.47421626407626
"M",3,299,183.82,2.47567118832443
"M",3,300,185.91,2.47712125471966
"M",3,301,218.2,2.47856649559384
"M",3,302,214.06,2.48000694295715
"M",3,302,189.65,2.48000694295715
"M",3,303,193,2.4814426285023
"M",3,303,258.34,2.4814426285023
"M",3,303,167.28,2.4814426285023
"M",3,303,192.66,2.4814426285023
"M",3,304,205.03,2.48287358360875
"M",3,304,210.01,2.48287358360875
"M",3,305,198.09,2.48429983934679
"M",3,306,209.68,2.48572142648158
"M",3,307,212.99,2.48713837547719
"M",3,308,225.9,2.48855071650044
"M",3,309,217.89,2.48995847942483
"M",3,311,207.79,2.49276038902684
"M",3,312,250.26,2.49415459401844
"M",3,314,242.14,2.49692964807321
"M",3,316,248.88,2.4996870826184
"M",3,316,176.66,2.4996870826184
"M",3,317,245.52,2.50105926221775
"M",3,320,258.56,2.50514997831991
"M",3,327,247.86,2.51454775266029
"M",3,327,263.98,2.51454775266029
"M",3,328,285.32,2.51587384371168
"M",3,332,274.11,2.52113808370404
"M",3,332,255.35,2.52113808370404
"M",3,334,275,2.52374646681156
"M",3,340,284.93,2.53147891704225
"M",3,342,256.95,2.53402610605613
"M",3,342,279.53,2.53402610605613
"M",3,344,293.06,2.53655844257153
"M",3,351,334.73,2.54530711646582
"M",3,351,370.32,2.54530711646582
"M",3,352,332.2,2.54654266347813
"M",3,354,318,2.54900326202579
"M",3,361,359.84,2.55750720190566
"M",3,363,409.71,2.55990662503611
"M",3,367,393.03,2.56466606425209
"M",3,367,430.19,2.56466606425209
"M",3,368,344.19,2.56584781867352
"M",3,376,399.96,2.57518784492766
"M",3,377,440.91,2.57634135020579
"M",3,385,416.76,2.5854607295085
"M",3,386,365.85,2.58658730467176
"M",3,388,535.06,2.58883172559421
"M",3,389,475.75,2.58994960132571
"M",3,411,528.25,2.61384182187607
"M",3,411,505.23,2.61384182187607
"M",3,420,695,2.6232492903979
"M",3,427,610,2.63042787502502
"M",3,448,790,2.65127801399814
"M",3,561,1595,2.74896286125616
"M",4,241,104.98,2.38201704257487
"M",4,242,97.94,2.38381536598043
"M",4,243,137.46,2.38560627359831
"M",4,243,101.64,2.38560627359831
"M",4,246,134.6,2.39093510710338
"M",4,247,99.61,2.39269695325967
"M",4,248,127.32,2.39445168082622
"M",4,248,90.4,2.39445168082622
"M",4,249,118.03,2.39619934709574
"M",4,252,113.1,2.40140054078154
"M",4,253,116.5,2.40312052117582
"M",4,253,102.18,2.40312052117582
"M",4,253,102.95,2.40312052117582
"M",4,254,106.73,2.40483371661994
"M",4,254,125.6,2.40483371661994
"M",4,254,120.3,2.40483371661994
"M",4,254,95.55,2.40483371661994
"M",4,255,115.26,2.40654018043396
"M",4,256,116.36,2.40823996531185
"M",4,256,126.26,2.40823996531185
"M",4,256,108.46,2.40823996531185
"M",4,257,137.92,2.40993312333129
"M",4,257,132.62,2.40993312333129
"M",4,258,122.73,2.41161970596323
"M",4,258,116.93,2.41161970596323
